# Dangle 5P DG
  -0.50  -0.02   0.48  -0.10
  -0.58  -0.34  -0.56  -0.61
  -0.96  -0.52  -0.72  -0.58
  -0.10  -0.10  -0.10  -0.10
  -0.51  -0.42  -0.62  -0.71
  -0.10  -0.10  -0.10  -0.10
# Dangle 5P DH
  -2.90  -4.10  -4.20  -0.20
  -3.70  -4.00  -3.90  -4.90
  -6.30  -4.40  -5.10  -4.00
  -0.10  -0.10  -0.10  -0.10
   0.20   0.60  -1.10  -6.90
  -0.10  -0.10  -0.10  -0.10
# Dangle 3P DG
  -0.12   0.28  -0.01   0.13
  -0.82  -0.31  -0.01  -0.52
  -0.92  -0.23  -0.44  -0.35
  -0.20  -0.20  -0.20  -0.20
  -0.48  -0.19  -0.50  -0.29
  -0.20  -0.20  -0.20  -0.20
# Dangle 3P DH
  -0.50   4.70  -4.10  -3.80
  -5.90  -2.60  -3.20  -5.20
  -2.10  -0.20  -3.90  -4.40
  -0.20  -0.20  -0.20  -0.20
  -0.70   4.40  -1.60   2.90
  -0.20  -0.20  -0.20  -0.20
# HP Stacking DG
  -1.00  -1.44  -1.28   0.71  -0.88   0.07
  -1.45  -1.84  -2.17  -0.47  -1.28  -0.32
  -1.30  -2.24  -1.84   0.08  -1.44  -0.59
   0.34  -0.59  -0.32   0.74   0.07   1.15
  -0.58  -1.30  -1.45   0.43  -1.00   0.34
   0.43   0.08  -0.47   0.52   0.71   0.74
# BP Stacking DH
  -7.90  -8.40  -7.80   1.00  -7.20  -2.50
  -8.50  -8.00 -10.60  -4.10  -7.80  -2.80
  -8.20  -9.80  -8.00   3.30  -8.40  -4.40
  -1.30  -4.40  -2.80   5.80  -2.50   4.10
  -7.20  -8.20  -8.50  -0.10  -7.90  -1.30
  -0.10   3.30  -4.10  -1.40   1.00   5.80
# HP Stacking DG
  -0.70  -0.30  -0.50  -0.90  -0.60  -0.20  -1.00  -0.30  -0.60  -1.00  -0.40  -0.50  -0.78  -0.30  -0.50  -0.40
  -1.00  -0.80  -0.90  -1.00  -0.80  -0.50  -1.00  -0.70  -1.00  -1.00  -0.90  -1.00  -1.00  -0.60  -0.90  -0.90
  -1.00  -0.70  -0.80  -1.00  -1.00  -0.60  -1.00  -0.70  -1.00  -1.00  -1.00  -0.80  -1.00  -0.60  -0.90  -0.90
  -0.50  -0.20  -0.50  -0.60  -0.20  -0.20  -0.90  -0.20  -0.50  -0.90  -0.50  -0.50  -0.50  -0.20  -0.50  -0.20
  -0.60  -0.40  -0.50  -0.60  -0.50  -0.20  -1.00  -0.50  -0.60  -1.00  -0.40  -0.50  -0.80  -0.30  -0.60  -0.30
  -0.50  -0.20  -0.50  -0.50  -0.20  -0.20  -0.80  -0.20  -0.50  -1.00  -0.50  -0.50  -0.50  -0.20  -0.50  -0.20
# HP Stacking DH
  -3.20  -0.90  -2.30  -5.00  -2.20  -0.50  -6.00  -1.20  -2.70  -6.00  -1.30  -2.90  -5.00  -2.80  -3.50  -2.40
  -2.80  -2.00  -3.00  -6.00  -2.40  -1.40  -7.00  -2.40  -5.10  -7.00  -2.90  -2.90  -6.00  -3.10  -5.90  -5.30
  -6.00  -4.00  -3.40  -6.00  -2.80  -2.50  -7.00  -3.30  -4.00  -7.00  -5.30  -3.70  -6.00  -2.50  -4.50  -6.10
   0.00   0.00   0.00  -3.70   0.00   0.00  -4.50   0.00   0.00  -5.90   0.00  -2.00  -3.50   0.00  -2.00   0.00
  -2.70  -2.60  -2.40  -5.00  -2.60  -0.50  -6.00  -2.70  -1.90  -6.00  -1.50  -2.30  -5.00  -1.40  -3.70  -2.30
   0.00   0.00   0.00  -2.30   0.00   0.00  -3.70   0.00   0.00  -2.90   0.00  -2.00  -2.90   0.00  -2.00   0.00
# IN Stacking DG
  -0.70  -0.30  -0.50   0.00  -0.60  -0.20   0.00  -0.30  -0.60   0.00  -0.40  -0.50   0.00  -0.30  -0.50  -0.40
  -1.00  -0.80  -0.90   0.00  -0.80  -0.50   0.00  -0.70  -1.00   0.00  -0.90  -1.00   0.00  -0.60  -0.90  -0.90
  -1.00  -0.70  -0.80   0.00  -1.00  -0.60   0.00  -0.70  -1.00   0.00  -1.00  -0.80   0.00  -0.60  -0.90  -0.90
  -0.50  -0.20  -0.50  -0.60  -0.20  -0.20  -0.90  -0.20  -0.50  -0.90  -0.50  -0.50  -0.50  -0.20  -0.50  -0.20
  -0.60  -0.40  -0.50   0.00  -0.50  -0.20   0.00  -0.50  -0.60  -0.00  -0.40  -0.50   0.00  -0.30  -0.60  -0.30
  -0.50  -0.20  -0.50  -0.50  -0.20  -0.20  -0.80  -0.20  -0.50  -1.00  -0.50  -0.50  -0.50  -0.20  -0.50  -0.20
# IN Stacking DH
  -3.20  -0.90  -2.30   0.00  -2.20  -0.50   0.00  -1.20  -2.70   0.00  -1.30  -2.90   0.00  -2.80  -3.50  -2.40
  -2.80  -2.00  -3.00   0.00  -2.40  -1.40   0.00  -2.40  -5.10   0.00  -2.90  -2.90   0.00  -3.10  -5.90  -5.30
  -6.00  -4.00  -3.40   0.00  -2.80  -2.50   0.00  -3.30  -4.00   0.00  -5.30  -3.70   0.00  -2.50  -4.50  -6.10
   0.00   0.00   0.00  -3.70   0.00   0.00  -4.50   0.00   0.00  -5.90   0.00  -2.00  -3.50   0.00  -2.00   0.00
  -2.70  -2.60  -2.40   0.00  -2.60  -0.50   0.00  -2.70  -1.90   0.00  -1.50  -2.30   0.00  -1.40  -3.70  -2.30
   0.00   0.00   0.00  -2.30   0.00   0.00  -3.70   0.00   0.00  -2.90   0.00  -2.00  -2.90   0.00  -2.00   0.00
# 1/1 Internal Loop DG
   1.30   2.21   0.88   1.00   1.69   2.38   1.00   1.39   0.44   1.00   0.31   2.00   1.00   1.70   2.00   1.37
   0.78   1.35  -0.38   1.00   1.58   2.12   1.00   1.62  -0.24   1.00  -1.24   2.00   1.00   1.35   2.00   1.14
   1.04   1.67   0.25   1.00   1.52   2.03   1.00   1.04   0.05   1.00  -0.24   2.00   1.00   1.35   2.00   0.57
   2.04   2.67   1.25   1.00   2.52   3.03   1.00   2.04   1.05   1.00   0.76   2.00   1.00   2.35   2.00   1.57
   1.22   1.65   0.16   1.00   1.65   2.66   1.00   1.37   0.16   1.00  -0.26   2.00   1.00   1.37   2.00   1.38
   1.78   2.35   0.62   1.00   2.58   3.12   1.00   2.62   0.76   1.00  -0.24   2.00   1.00   2.35   2.00   2.14
   1.12   2.08   0.77   1.00   1.71   1.75   1.00   1.37   0.53   1.00   0.33   2.00   1.00   1.37   2.00   0.56
   0.60   1.22  -0.49   1.00   1.60   1.49   1.00   1.60  -0.14   1.00  -1.22   2.00   1.00   1.02   2.00   0.33
   0.86   1.54   0.14   1.00   1.54   1.40   1.00   1.02   0.14   1.00  -0.22   2.00   1.00   1.02   2.00  -0.24
   1.86   2.54   1.14   1.00   2.54   2.40   1.00   2.02   1.14   1.00   0.78   2.00   1.00   2.02   2.00   0.76
   1.04   1.52   0.05   1.00   1.67   2.03   1.00   1.35   0.25   1.00  -0.24   2.00   1.00   1.04   2.00   0.57
   1.60   2.22   0.51   1.00   2.60   2.49   1.00   2.60   0.86   1.00  -0.22   2.00   1.00   2.02   2.00   1.33
   0.86   2.14   0.49   1.00   1.39   1.84   1.00   1.37  -0.10   1.00  -0.67   2.00   1.00   1.95   2.00   1.13
   0.34   1.28  -0.78   1.00   1.28   1.58   1.00   1.60  -0.78   1.00  -2.22   2.00   1.00   1.60   2.00   0.90
   0.60   1.60  -0.14   1.00   1.22   1.49   1.00   1.02  -0.49   1.00  -1.22   2.00   1.00   1.60   2.00   0.33
   1.60   2.60   0.86   1.00   2.22   2.49   1.00   2.02   0.51   1.00  -0.22   2.00   1.00   2.60   2.00   1.33
   0.78   1.58  -0.24   1.00   1.35   2.12   1.00   1.35  -0.38   1.00  -1.24   2.00   1.00   1.62   2.00   1.14
   1.34   2.28   0.22   1.00   2.28   2.58   1.00   2.60   0.22   1.00  -1.22   2.00   1.00   2.60   2.00   1.90
   1.86   3.14   1.49   1.00   2.39   2.84   1.00   2.37   0.90   1.00   0.33   2.00   1.00   2.95   2.00   2.13
   1.34   2.28   0.22   1.00   2.28   2.58   1.00   2.60   0.22   1.00  -1.22   2.00   1.00   2.60   2.00   1.90
   1.60   2.60   0.86   1.00   2.22   2.49   1.00   2.02   0.51   1.00  -0.22   2.00   1.00   2.60   2.00   1.33
   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00
   1.78   2.58   0.76   1.00   2.35   3.12   1.00   2.35   0.62   1.00  -0.24   2.00   1.00   2.62   2.00   2.14
   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00
   1.38   2.25   1.16   1.00   2.25   2.05   1.00   1.72   1.16   1.00   0.88   2.00   1.00   1.72   2.00   1.36
   0.86   1.39  -0.10   1.00   2.14   1.84   1.00   1.95   0.49   1.00  -0.67   2.00   1.00   1.37   2.00   1.13
   1.12   1.71   0.53   1.00   2.08   1.75   1.00   1.37   0.77   1.00   0.33   2.00   1.00   1.37   2.00   0.56
   2.12   2.71   1.53   1.00   3.08   2.75   1.00   2.37   1.77   1.00   1.33   2.00   1.00   2.37   2.00   1.56
   1.30   1.69   0.44   1.00   2.21   2.38   1.00   1.70   0.88   1.00   0.31   2.00   1.00   1.39   2.00   1.37
   1.86   2.39   0.90   1.00   3.14   2.84   1.00   2.95   1.49   1.00   0.33   2.00   1.00   2.37   2.00   2.13
   2.12   3.08   1.77   1.00   2.71   2.75   1.00   2.37   1.53   1.00   1.33   2.00   1.00   2.37   2.00   1.56
   1.60   2.22   0.51   1.00   2.60   2.49   1.00   2.60   0.86   1.00  -0.22   2.00   1.00   2.02   2.00   1.33
   1.86   2.54   1.14   1.00   2.54   2.40   1.00   2.02   1.14   1.00   0.78   2.00   1.00   2.02   2.00   0.76
   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00
   2.04   2.52   1.05   1.00   2.67   3.03   1.00   2.35   1.25   1.00   0.76   2.00   1.00   2.04   2.00   1.57
   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00   3.00
# 1/1 Internal Loop DH
   5.80   9.90   2.40   0.00   8.70   6.10   0.00   1.70   0.00   0.00  -1.90   0.00   0.00   0.00   0.00  -2.50
  -1.70   1.60  -0.10   0.00  10.50   3.50   0.00   5.90  -1.20   0.00  -9.70   0.00   0.00   1.10   0.00  -4.80
   0.30   2.90  -4.60   0.00   7.20  -1.60   0.00  -0.80  -1.40   0.00  -7.90   0.00   0.00  -2.00   0.00  -7.70
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   2.30   7.60  -1.30   0.00   7.60  -0.10   0.00  -0.50  -1.30   0.00  -6.60   0.00   0.00  -0.50   0.00  -5.30
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   3.80   9.50   2.30   0.00   4.00   4.60   0.00   0.20  -3.30   0.00  -3.20   0.00   0.00  -0.30   0.00  -4.80
  -3.70   1.20  -0.20   0.00   5.80   2.00   0.00   4.40  -4.60   0.00 -11.00   0.00   0.00   0.80   0.00  -7.20
  -1.70   2.50  -4.70   0.00   2.50  -3.00   0.00  -2.30  -4.70   0.00  -9.20   0.00   0.00  -2.30   0.00 -10.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.30   7.20  -1.40   0.00   2.90  -1.60   0.00  -2.00  -4.60   0.00  -7.90   0.00   0.00  -0.80   0.00  -7.70
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   1.80  12.80   2.50   0.00   2.70   9.70   0.00   3.30   1.10   0.00  -4.90   0.00   0.00   6.40   0.00  -2.00
  -5.70   4.50  -0.10   0.00   4.50   7.10   0.00   7.50  -0.10   0.00 -12.70   0.00   0.00   7.50   0.00  -4.30
  -3.70   5.80  -4.60   0.00   1.20   2.00   0.00   0.80  -0.20   0.00 -11.00   0.00   0.00   4.40   0.00  -7.20
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  -1.70  10.50  -1.20   0.00   1.60   3.50   0.00   1.10  -0.10   0.00  -9.70   0.00   0.00   5.90   0.00  -4.80
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
